,Year,Media,Title,Released,Consumed
0,"25,000 BBY",F,Untitled Star Wars film (James Mangold),Uknown,False
1,382 BBY,N,The High Republic: Convergence ,2022-11-22,False
2,382 BBY,JR,The High Republic: Quest for the Hidden City ,2022-11-01,False
3,382 BBY,N,The High Republic: Path of Deceit,2022-10-04,False
4,382 BBY,C,The High Republic Adventures: Quest of the Jedi,2023-04-26,False
5,382 BBY,C,The High Republic — The Blade 1 ,2022-12-28,False
6,382 BBY,C,The High Republic — The Blade 2 ,2023-01-25,False
7,382 BBY,C,The High Republic — The Blade 3 ,2023-03-01,False
8,382 BBY,C,The High Republic — The Blade 4 ,2023-03-29,False
9,382 BBY,C,The High Republic Adventures (2022) 1 ,2022-11-30,False
10,382 BBY,C,The High Republic Adventures (2022) 2 ,2023-01-11,False
11,382 BBY,C,The High Republic Adventures (2022) 3 ,2023-03-15,False
12,382 BBY,C,The High Republic Adventures (2022) 4 ,2023-05-03,False
13,382 BBY,A,The High Republic: The Battle of Jedha ,2023-01-03,False
14,382 BBY,C,"""Peace and Unity"" — The High Republic (2022) 1 ",2022-10-12,False
15,382 BBY,C,The High Republic (2022) 1 ,2022-10-12,False
16,382 BBY,C,The High Republic (2022) 2 ,2022-11-09,False
17,382 BBY,C,The High Republic (2022) 3 ,2022-12-28,False
18,382 BBY,C,The High Republic (2022) 4,2023-01-11,False
19,382 BBY,C,The High Republic (2022) 5,2023-02-08,False
20,382 BBY,C,The High Republic Adventures (2022) 5 ,2023-05-10,False
21,382 BBY,C,The High Republic Adventures (2022) 6 ,2023-06-28,False
22,382 BBY,C,The High Republic Adventures (2022) 7 ,2023-06-28,False
23,382 BBY,C,The High Republic Adventures (2022) 8 ,2023-06-28,False
24,382 BBY,C,The High Republic (2022) 6,2023-03-08,False
25,382 BBY,C,The High Republic (2022) 7 ,2023-03-29,False
26,382 BBY,C,The High Republic (2022) 8 ,2023-04-12,False
27,382 BBY,C,The High Republic (2022) 9 ,2023-05-10,False
28,382 BBY,N,The High Republic: Path of Vengeance ,2023-05-02,False
29,382 BBY,C,The High Republic (2022) 10 ,2023-05-24,False
30,382 BBY,N,The High Republic: Cataclysm ,2023-04-04,False
31,382 BBY,JR,The High Republic: Quest for Planet X ,2023-04-04,False
32,,C,Star Wars: The High Republic: The Broken Blade ,Uknown,False
33,,C,"""First Mission"" — The High Republic Adventures Annual 2021 ",2021-12-15,False
34,,C,"""Set For Life"" — The High Republic Adventures Annual 2021 ",2021-12-15,False
35,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Young Jedi""",2023-05-04,False
36,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Yoda's Mission""",2023-05-04,False
37,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Meet the Young Jedi""",2023-03-27,False
38,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Lys' Creature Caper""",2023-03-27,False
39,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Nubs and the Flower Fiasco""",2023-04-03,False
40,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Nash's Firehawk Frenzy""",2023-04-17,False
41,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Taborr's Pirate Showdown""",2023-04-24,False
42,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Nash's Race Day""",2023-05-04,False
43,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Kai's Daring Droid Rescue""",2023-03-27,False
44,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Lost Jedi Ship""",2023-05-04,False
45,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Get Well Nubs""",2023-05-04,False
46,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Junk Giant""",2023-05-04,False
47,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Lys and the Snowy Mountain Rescue""",2023-05-04,False
48,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Attack of the Training Droids""",2023-05-04,False
49,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Jellyfruit Pursuit""",2023-05-04,False
50,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Creature Safari""",2023-05-04,False
51,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Squadron""",2023-05-04,False
52,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Forest Defenders""",2023-05-04,False
53,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Jedi and the Thief""",2023-05-04,False
54,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Missing Kibbin""",2023-05-04,False
55,232 BBY,VG,Star Wars: Young Jedi Adventures: Galactic Training ,2023-06-23,False
56,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Girl and Her Gargantua""",2023-08-02,False
57,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Show Must Go On""",2023-08-02,False
58,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Princess and the Jedi""",2023-08-02,False
59,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Kai's Bad Day""",2023-08-02,False
60,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Visitor's Day""",2023-08-02,False
61,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Growing Green Danger""",2023-08-02,False
62,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Ganguls""",2023-08-02,False
63,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Bad Eggs""",2023-08-02,False
64,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Off the Rails""",2023-08-02,False
65,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Thieves of Tharnaka""",2023-08-02,False
66,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Tree Troubles""",2023-08-02,False
67,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Big Brother's Bounty""",2023-08-02,False
68,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Charhound Chase""",2023-11-08,False
69,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Creature Comforts""",2023-11-08,False
70,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""An Adventure with Yoda""",2023-11-08,False
71,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Talon Takeover""",2023-11-08,False
72,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Mystery of the Opal Cave""",2023-11-08,False
73,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Clash""",2023-11-08,False
74,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Stuck in the Muck""",2023-11-08,False
75,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Junkyard Sleepover""",2023-11-08,False
76,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Great Leaf Glide""",2023-11-08,False
77,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Harvest Feast""",2023-11-08,False
78,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Life Day""",2023-11-08,False
79,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Raxlo Strikes Back""",2023-11-08,False
80,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Aftershock""",2024-02-14,False
81,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Feather Frenzy""",2024-02-14,False
82,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Best Friends""",2024-02-14,False
83,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Happy Trails, Nubs""",2024-02-14,False
84,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Tale of Short Spire""",2024-02-14,False
85,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Team Up""",2024-02-14,False
86,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Caves of Batuu""",2024-03-01,False
87,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Finders Keepers""",2024-03-01,False
88,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Starship Show""",2024-03-08,False
89,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Nash's Super Busy Day""",2024-03-08,False
90,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Prince and the Pirate""",2024-03-15,False
91,,C,"""Star Wars: Young Jedi Adventures—Scavenger Hunt"" — Free Comic Book Day 2025: All Ages ",2025-05-03,False
92,232 BBY,C,"""Sky Parade Rescue"" — Free Comic Book Day 2024: All Ages ",2024-05-04,False
93,232 BBY,N,The High Republic: Into the Dark,2021-02-02,False
94,232 BBY,N,The High Republic: Light of the Jedi,2021-01-05,False
95,232 BBY,C,"""Tales of Villainy: The Gaze Electric"" — Star Wars Adventures (2020) 6 ",2021-07-07,False
96,232 BBY,C,The High Republic Adventures (2021) 1 ,2021-02-03,False
97,232 BBY,C,The High Republic Adventures (2021) 2 ,2021-03-03,False
98,232 BBY,C,"""The Banchiians"" — The High Republic: The Edge of Balance, Vol. 1 ",2021-09-07,False
99,232–231 BBY,C,"The High Republic: The Edge of Balance, Vol. 1 ",2021-09-07,False
100,232 BBY,JR,The High Republic: A Test of Courage,2021-01-05,False
101,232 BBY,C,The High Republic (2021) 1,2021-01-06,False
102,232 BBY,TV,"Star Wars: Fun with Nubs — ""Nubs Loses his Lightsaber""",2024-06-14,False
103,232 BBY,TV,"Star Wars: Fun with Nubs — ""RJ Repairs the Firehawk""",2024-06-14,False
104,232 BBY,TV,"Star Wars: Fun with Nubs — ""Nubs Cleans Up""",2024-06-14,False
105,232 BBY,TV,"Star Wars: Fun with Nubs — ""RJ Needs a Tool""",2024-06-14,False
106,232 BBY,TV,"Star Wars: Fun with Nubs — ""Nubs Tries to Meditate""",2024-06-21,False
107,232 BBY,TV,"Star Wars: Fun with Nubs — ""RJ Goes For A Swim""",2024-06-28,False
108,232 BBY,TV,"Star Wars: Fun with Nubs — ""Nubs Gardens""",2024-07-05,False
109,232 BBY,TV,"Star Wars: Fun with Nubs — ""RJ Fixes the Speeder""",2024-07-12,False
110,232 BBY,TV,"Star Wars: Fun with Nubs — ""Nubs and RJ Dance""",2024-07-19,False
111,232 BBY,TV,"Star Wars: Fun with Nubs — ""Nubs Can't Stop Sneezing""",2024-07-26,False
112,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Heroes and Hotshots""",2024-08-14,False
113,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Firehawk Rescue""",2024-08-02,False
114,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Skyring Soaring""",2024-08-02,False
115,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""A Droid's Mission""",2024-08-02,False
116,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Younglings in the Wild""",2024-08-02,False
117,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Junkyard Joust""",2024-08-02,False
118,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Nubs-tacle Course""",2024-08-02,False
119,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""A Jedi or a Pirate""",2024-08-14,False
120,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Rustler Roundup""",2024-08-14,False
121,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""A New Discovery""",2024-08-14,False
122,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""A Pirate's Pet""",2024-08-14,False
123,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Secret Ship""",2024-08-14,False
124,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Nubs's Big Mistake""",2024-08-14,False
125,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Jedi Rescue""",2024-08-14,False
126,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Terror of Tenoo""",2024-08-14,False
127,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Prince of Masks""",2024-08-14,False
128,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Battle for the Band""",2024-08-14,False
129,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Uprooted""",2024-08-14,False
130,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Mine and Ours""",2024-08-14,False
131,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Andraven Circuit""",2024-08-14,False
132,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Great Gomgourd Quest""",2024-08-14,False
133,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""A Sticky Situation""",2024-08-14,False
134,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Missing Life Day Feast""",2024-08-14,False
135,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Lost Treasure of Tenoo""",2024-08-14,False
136,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Wild Aklyrr""",2024-08-14,False
137,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Lys' Lost Lightsaber""",2024-08-14,False
138,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""Tower Run""",2024-08-14,False
139,232 BBY,TV,"Star Wars: Young Jedi Adventures — ""The Jumping Jetpack""",2024-08-14,False
140,232 BBY,TV,"Star Wars: Fun with Nubs — ""Nubs Gets Stuck""",2025-02-01,False
141,232 BBY,TV,"Star Wars: Fun with Nubs — ""RJ Makes a Friend""",2025-02-08,False
142,232 BBY,TV,"Star Wars: Fun with Nubs — ""Nubs Learns To Paint""",2025-02-15,False
143,232 BBY,TV,"Star Wars: Fun with Nubs — ""RJ Makes Music""",2025-02-22,False
144,232 BBY,TV,"Star Wars: Fun with Nubs — ""Nubs Tries To Sleep""",2025-03-01,False
145,232 BBY,TV,"Star Wars: Fun with Nubs — ""RJ Learns to Fly""",2025-03-05,False
146,232 BBY,TV,"Star Wars: Fun with Nubs — ""Nubs Gets A Tummy Ache""",2025-03-08,False
147,232 BBY,TV,"Star Wars: Fun with Nubs — ""RJ Makes a Speedy Delivery""",2025-03-12,False
148,232 BBY,TV,"Star Wars: Fun with Nubs — ""Nubs Faces a Bug""",2025-03-15,False
149,232 BBY,C,The High Republic Adventures (2021) 3 ,2021-04-07,False
150,232 BBY,C,The High Republic Adventures (2021) 4 ,2021-05-05,False
151,232 BBY,C,The High Republic Adventures (2021) 5 ,2021-06-16,False
152,232 BBY,C,The High Republic (2021) 2 ,2021-02-03,False
153,232 BBY,C,The High Republic (2021) 3 ,2021-03-03,False
154,232 BBY,C,The High Republic (2021) 4 ,2021-04-07,False
155,232 BBY,C,The High Republic (2021) 5 ,2021-05-12,False
156,231 BBY,C,The High Republic Adventures (2021) 6,2021-07-21,False
157,231 BBY,C,The High Republic Adventures (2021) 7,2021-08-18,False
158,231 BBY,C,The High Republic (2021) 6,2021-06-30,False
159,,C,"""Undead or Alive"" — Tales from the Rancor Pit ",2022-11-23,False
160,231 BBY,C,The High Republic Adventures — The Monster of Temple Peak 1,2021-08-11,False
161,231 BBY,C,The High Republic Adventures — The Monster of Temple Peak 2,2021-09-15,False
162,231 BBY,C,The High Republic Adventures — The Monster of Temple Peak 3,2021-10-27,False
163,231 BBY,C,The High Republic Adventures — The Monster of Temple Peak 4,2021-11-17,False
164,231 BBY,N,The High Republic: The Rising Storm ,2021-06-29,False
165,231 BBY,C,The High Republic (2021) 7,2021-07-28,False
166,231 BBY,JR,The High Republic: Race to Crashpoint Tower,2021-06-29,False
167,231 BBY,C,The High Republic Adventures Free Comic Book Day 2021,2021-08-14,False
168,231 BBY,C,The High Republic (2021) 8,2021-08-11,False
169,231 BBY,C,The High Republic: Trail of Shadows 1,2021-10-13,False
170,231 BBY,C,"""Deck the Halls"" — Life Day 1 ",2021-11-24,False
171,231 BBY,C,The High Republic Adventures (2021) 8 ,2021-09-01,False
172,231 BBY,C,The High Republic Adventures (2021) 9 ,2021-10-06,False
173,231 BBY,C,The High Republic Adventures (2021) 10 ,2021-11-17,False
174,231–230 BBY,C,"The High Republic: The Edge of Balance, Vol. 2 ",2022-02-22,False
175,231 BBY,N,The High Republic: Out of the Shadows,2021-07-27,False
176,231 BBY,A,The High Republic: Tempest Runner ,2021-08-31,False
177,231 BBY,C,The High Republic: Trail of Shadows 2 ,2021-11-24,False
178,231 BBY,C,The High Republic (2021) 9 ,2021-09-01,False
179,231 BBY,C,The High Republic (2021) 10 ,2021-10-20,False
180,231 BBY,C,The High Republic (2021) 11 ,2021-11-10,False
181,,C,"""The Haul"" — The High Republic Adventures Annual 2021 ",2021-12-15,False
182,230 BBY,C,The High Republic Adventures: Galactic Bake-Off Spectacular ,2022-01-19,False
183,230 BBY,C,The High Republic: Trail of Shadows 3 ,2021-12-22,False
184,230 BBY,C,The High Republic Adventures (2021) 11 ,2021-12-01,False
185,230 BBY,C,"""Tales of Villainy: A Very Nihil Interlude"" — Star Wars Adventures (2020) 14 ",2022-02-09,False
186,230 BBY,JR,The High Republic: Mission to Disaster ,2022-01-04,False
187,230 BBY,C,"""Crash and the Crew Do What They Do"" — The High Republic Adventures Annual 2021 ",2021-12-15,False
188,230 BBY,C,"""No Stone Unturned"" — The High Republic Adventures Annual 2021 ",2021-12-15,False
189,230 BBY,N,The High Republic: Midnight Horizon ,2022-02-01,False
190,230 BBY,C,The High Republic Adventures (2021) 12 ,2022-01-12,False
191,230 BBY,N,The High Republic: The Fallen Star ,2022-01-04,False
192,230 BBY,C,The High Republic (2021) 12 ,2021-12-15,False
193,230 BBY,C,The High Republic (2021) 13 ,2022-01-19,False
194,230 BBY,C,The High Republic (2021) 14 ,2022-02-02,False
195,230 BBY,C,The High Republic Adventures (2021) 13 ,2022-02-23,False
196,230 BBY,C,The High Republic: Trail of Shadows 4 ,2022-01-26,False
197,230 BBY,C,The High Republic (2021) 15 ,2022-03-02,False
198,230 BBY,C,"""Starlight Coda"" — Free Comic Book Day 2023: All Ages ",2023-05-06,False
199,230 BBY,C,The High Republic: Trail of Shadows 5 ,2022-02-09,False
200,,C,The High Republic – Shadows of Starlight 4 ,2024-01-03,False
201,,C,The High Republic – Shadows of Starlight 1 ,2023-10-04,False
202,,C,The High Republic – Shadows of Starlight 2 ,2023-11-08,False
203,,C,The High Republic – Shadows of Starlight 3 ,2023-12-13,False
204,,C,The High Republic: The Edge of Balance: Precedent,2023-05-23,False
205,230 BBY,C,The High Republic: Eye of the Storm 1 ,2022-01-12,False
206,230 BBY,C,The High Republic: Eye of the Storm 2 ,2022-03-02,False
207,,C,The High Republic Adventures – The Nameless Terror 1,2023-02-22,False
208,,C,The High Republic Adventures – The Nameless Terror 2,2023-04-19,False
209,,C,The High Republic Adventures – The Nameless Terror 3,2023-05-03,False
210,,C,The High Republic Adventures – The Nameless Terror 4,2023-05-17,False
211,,C,"""All the Republic"" — Revelations (2023) 1 ",2023-12-20,False
212,229 BBY,JR,The High Republic: Escape from Valo,2024-01-30,False
213,229 —228 BBY,N,The High Republic: The Eye of Darkness,2023-11-14,False
214,229 BBY,C,The High Republic Adventures (2023) 1 ,2023-12-13,False
215,229 BBY,C,The High Republic Adventures (2023) 2 ,2024-01-17,False
216,229 BBY,C,The High Republic Adventures: Crash Landing ,2024-03-27,False
217,229 BBY,C,The High Republic Adventures (2023) 3 ,2024-02-14,False
218,228 BBY,C,The High Republic Adventures (2023) 4 ,2024-03-13,False
219,228 BBY,C,The High Republic Adventures (2023) 5 ,2024-04-24,False
220,228 BBY,C,The High Republic Adventures (2023) 6 ,2024-05-29,False
221,228 BBY,N,The High Republic: Defy the Storm,2024-03-05,False
222,228 BBY,C,The High Republic Adventures (2023) 7 ,2024-07-10,False
223,228 BBY,C,The High Republic Adventures (2023) 8 ,2024-08-07,False
224,228 BBY,C,The High Republic Adventures: Crash and Burn ,2024-09-04,False
225,228 BBY,C,The High Republic Adventures (2023) 9 ,2024-08-21,False
226,228 BBY,C,The High Republic Adventures (2023) 10 ,2024-09-18,False
227,228 BBY,N,The High Republic: Temptation of the Force,2024-06-11,False
228,228 BBY,C,The High Republic (2023) 1 ,2023-11-08,False
229,228 BBY,C,The High Republic (2023) 2 ,2023-12-20,False
230,228 BBY,C,The High Republic (2023) 3 ,2024-01-17,False
231,228 BBY,C,The High Republic (2023) 4 ,2024-03-06,False
232,228 BBY,C,The High Republic (2023) 5 ,2024-03-20,False
233,228 BBY,C,The High Republic (2023) 6 ,2024-04-10,False
234,228 BBY,C,The High Republic (2023) 7 ,2024-05-08,False
235,228 BBY,C,The High Republic (2023) 8 ,2024-06-05,False
236,228 BBY,C,The High Republic (2023) 9 ,2024-07-03,False
237,228 BBY,C,The High Republic (2023) 10 ,2024-08-07,False
238,228 BBY,N,The High Republic: Tears of the Nameless,2024-09-24,False
239,228 BBY,JR,The High Republic: Beware the Nameless,2024-08-27,False
240,,C,The High Republic Adventures – Echoes of Fear 1 ,2024-09-04,False
241,,C,The High Republic Adventures – Echoes of Fear 2 ,2024-10-09,False
242,,C,The High Republic Adventures – Echoes of Fear 3 ,2024-11-27,False
243,,C,The High Republic Adventures – Echoes of Fear 4 ,2025-01-29,False
244,228 BBY,C,The High Republic Adventures – Saber for Hire 1 ,2024-04-17,False
245,228 BBY,C,The High Republic Adventures – Saber for Hire 2 ,2024-05-29,False
246,228 BBY,C,The High Republic Adventures – Saber for Hire 3 ,2024-06-26,False
247,228 BBY,C,The High Republic Adventures – Saber for Hire 4 ,2024-10-09,False
248,,C,"The High Republic: The Edge of Balance, Vol. 3 ",2024-08-13,False
249,,C,The High Republic: The Edge of Balance: Premonition ,2025-04-08,False
250,,C,"The High Republic: The Edge of Balance, Vol. 4 ",2025-04-22,False
251,,A,The High Republic: Seeds of Starlight,2024-11-14,False
252,,A,The High Republic: Haunted Starlight,2025-03-06,False
253,,A,The High Republic: Tempest Breaker ,2024-12-03,False
254,228 BBY,C,"""Three Younglings & the Snackfrog of Doom"" — The High Republic Adventures Phase III Annual ",2025-01-29,False
255,228 BBY,C,"""Heart to Heart"" — The High Republic Adventures Phase III Annual ",2025-01-29,False
256,228 BBY,C,"""The Adventures of Churo the Hutt and the Heart of Eroudac"" — The High Republic Adventures Phase III Annual ",2025-01-29,False
257,228 BBY,C,"""Brothers and Sisters"" — The High Republic Adventures Phase III Annual ",2025-01-29,False
258,228 BBY,C,"""Stellan's Wisdom"" — The High Republic Adventures Phase III Annual ",2025-01-29,False
259,228 BBY,C,The High Republic Adventures (2023) 11 ,2024-10-30,False
260,228 BBY,C,The High Republic Adventures: Dispatches from the Occlusion Zone 1 ,2024-10-09,False
261,228 BBY,C,The High Republic Adventures: Dispatches from the Occlusion Zone 2 ,2024-11-27,False
262,228 BBY,C,The High Republic Adventures (2023) 12 ,2024-11-20,False
263,228 BBY,C,The High Republic Adventures (2023) 13 ,2024-12-18,False
264,228 BBY,C,The High Republic Adventures: Dispatches from the Occlusion Zone 3 ,2024-12-18,False
265,228 BBY,C,The High Republic Adventures Phase III - The Wedding Spectacular ,2024-12-18,False
266,228 BBY,C,The High Republic Adventures (2023) 14 ,2025-01-29,False
267,228 BBY,C,The High Republic Adventures (2023) 15 ,2025-02-12,False
268,228 BBY,C,The High Republic Adventures (2023) 16 ,2025-03-19,False
269,228 BBY,C,The High Republic Adventures (2023) 17 ,2025-04-16,False
270,228 BBY,C,The High Republic Adventures Phase III - The Battle of Eriadu ,2025-04-30,False
271,228 BBY,C,The High Republic Adventures (2023) 18 ,2025-05-14,False
272,228 BBY,C,The High Republic Adventures (2023) 19 ,2025-06-11,False
273,228 BBY,C,The High Republic Adventures (2023) 20 ,2025-06-25,False
274,,C,The High Republic Adventures: Dispatches from the Occlusion Zone 4 ,2025-01-29,False
275,,C,The High Republic – Fear of the Jedi 1 ,2025-02-19,False
276,,C,The High Republic – Fear of the Jedi 2 ,2025-03-26,False
277,,C,The High Republic – Fear of the Jedi 3 ,2025-04-30,False
278,,C,The High Republic – Fear of the Jedi 4 ,2025-05-21,False
279,,C,The High Republic – Fear of the Jedi 5 ,2025-XX-XX,False
280,,N,The High Republic: Into the Light,2025-04-01,False
281,,JR,The High Republic: A Valiant Vow,2025-05-06,False
282,229 BBY,N,The High Republic: Trials of the Jedi,2025-06-17,False
283,200 BBY,N,The Vow of Silver Dawn,2020-12-17,False
284,152 BBY,N,The Acolyte: Wayseeker ,2025-05-06,False
285,148 BBY,TV,"The Acolyte — ""Choice"" ",2024-07-09,False
286,148 BBY,TV,"The Acolyte — ""Destiny"" ",2024-06-11,False
287,,N,The Acolyte: The Crystal Crown ,2025-07-29,False
288,,C,The Acolyte - Kelnacca 1 ,2024-09-04,False
289,132 BBY,TV,"The Acolyte — ""Lost / Found"" ",2024-06-04,False
290,132 BBY,TV,"The Acolyte — ""Revenge / Justice"" ",2024-06-04,False
291,132 BBY,TV,"The Acolyte — ""Day"" ",2024-06-18,False
292,132 BBY,TV,"The Acolyte — ""Night"" ",2024-06-25,False
293,132 BBY,TV,"The Acolyte — ""Teach / Corrupt"" ",2024-07-02,False
294,132 BBY,TV,"The Acolyte — ""The Acolyte"" ",2024-07-16,False
295,68–58 BBY,TV,"Star Wars: Tales of the Jedi — ""Justice"" ",2022-10-26,False
296,By 48 BBY,C,"""Showdown at Ocean's Deep"" — Revelations (2023) 1 ",2023-12-20,False
297,By 48 BBY,C,Mace Windu 1 ,2024-02-07,False
298,By 48 BBY,C,Mace Windu 2 ,2024-03-13,False
299,By 48 BBY,C,Mace Windu 3 ,2024-04-17,False
300,By 48 BBY,C,Mace Windu 4 ,2024-05-15,False
301,,TV,"Star Wars: Tales of the Jedi — ""Choices"" ",2022-10-26,False
302,41 BBY,N,Padawan,2022-07-26,False
303,41 BBY,C,"""Life Day"" — Star Wars Adventures (2020) 3 ",2021-02-03,False
304,41 BBY,C,"""Life Day Part 2"" — Star Wars Adventures (2020) 4 ",2021-03-24,False
305,,C,Hyperspace Stories: Qui-Gon ,2025-03-04,False
306,40 BBY,N,Master & Apprentice,2019-04-16,False
307,40–32 BBY,C,"Darth Maul – Black, White & Red 1 ",2024-04-24,False
308,40–32 BBY,C,"Darth Maul – Black, White & Red 2 ",2024-05-29,False
309,40–32 BBY,C,"Darth Maul – Black, White & Red 3 ",2024-06-26,False
310,40–32 BBY,C,"Darth Maul – Black, White & Red 4 ",2024-07-31,False
311,37 BBY,C,Age of Republic - Qui-Gon Jinn 1,2018-12-05,False
312,36–35 BBY,TV,"Star Wars: Tales of the Jedi — ""Life and Death""",2022-05-28,False
313,34 BBY,C,"""The Weapon"" — Age of Republic Special 1",2019-01-16,False
314,33 BBY,N,The Living Force,2024-04-09,False
315,33 BBY,C,Darth Maul (2017) 1,2017-02-01,False
316,33 BBY,C,Darth Maul (2017) 2,2017-03-22,False
317,33 BBY,C,Darth Maul (2017) 3,2017-04-26,False
318,33 BBY,C,Darth Maul (2017) 4,2017-06-21,False
319,33 BBY,C,Darth Maul (2017) 5,2017-07-19,False
320,33 BBY,C,Jango Fett 1 ,2024-03-20,False
321,33 BBY,C,"""Stolen Hope"" — Revelations (2023) 1 ",2023-12-20,False
322,33 BBY,C,Jango Fett 2 ,2024-04-24,False
323,33 BBY,C,Jango Fett 3 ,2024-05-29,False
324,33 BBY,C,Jango Fett 4 ,2024-06-19,False
325,32 BBY,C,Age of Republic - Darth Maul 1 ,2018-12-12,False
326,,C,Jedi Knights 1 ,2025-03-05,False
327,,C,Untitled Jedi Knights story — Free Comic Book Day 2025: Star Wars 1 ,2025-05-03,False
328,,C,Jedi Knights 2 ,2025-04-09,False
329,,C,Jedi Knights 3 ,2025-05-14,False
330,,C,Jedi Knights 4 ,Uknown,False
331,,C,Jedi Knights 5 ,2025-07-02,False
332,,C,Jedi Knights 6 ,2025-08-06,False
333,,C,Jedi Knights 7 ,2025-09-10,False
334,,C,Jedi Knights 8 ,Uknown,False
335,,C,Jedi Knights 9 ,Uknown,False
336,,C,Jedi Knights 10 ,Uknown,False
337,32 BBY,N,Queen's Peril,2020-06-02,False
338,32 BBY,C,The Phantom Menace 25th Anniversary Special 1,2024-05-01,False
